date,product_type,region,customer_segment,total_volume_tons,total_revenue,total_margin,avg_final_price,avg_competitor_price,avg_inventory,avg_weather_index,margin_rate
2022-01-02,Canola,Midwest,Commercial,758.0,410426.68,67560.54,541.46,559.08,1203.0,1.16,0.16461049754367818
2022-01-02,Canola,Midwest,Cooperative,919.0,437535.9,93627.72,476.1,518.57,1077.0,0.98,0.21398865784499055
2022-01-02,Canola,Midwest,Exporter,773.0,370290.19,69299.45,479.03,469.86,1294.0,1.07,0.1871490303321295
2022-01-02,Canola,Midwest,Food Processor,448.0,218059.52,36382.08,486.74,498.18,1076.0,0.92,0.16684472202818754
2022-01-02,Canola,Northeast,Commercial,364.0,192326.68,53005.68,528.37,532.14,925.0,0.84,0.2756023241289248
2022-01-02,Canola,Northeast,Cooperative,514.0,242741.64,42163.42,472.26,473.0,633.0,1.16,0.1736966924998941
2022-01-02,Canola,Northeast,Exporter,337.0,161267.98,27462.13,478.54,467.07,657.0,1.0,0.17028879508505035
2022-01-02,Canola,Northeast,Food Processor,205.0,102225.3,21373.3,498.66,513.3,757.0,0.98,0.20908033529860023
2022-01-02,Canola,South,Commercial,412.0,212101.72,60411.56,514.81,518.77,824.0,1.03,0.28482352712651265
2022-01-02,Canola,South,Cooperative,381.0,190397.13,30064.71,499.73,495.56,792.0,0.83,0.1579052688451764
2022-01-02,Canola,South,Exporter,657.0,340010.64,55779.3,517.52,559.25,750.0,1.0,0.1640516308548462
2022-01-02,Canola,South,Food Processor,414.0,205807.68,43734.96,497.12,519.11,884.0,0.9,0.21250402317347925
2022-01-02,Canola,West,Commercial,352.0,189354.88,29448.32,537.94,529.31,752.0,1.03,0.15551920288508012
2022-01-02,Canola,West,Cooperative,412.0,199778.8,39082.32,484.9,500.39,1073.0,1.06,0.19562796452876882
2022-01-02,Canola,West,Exporter,528.0,286535.04,73883.04,542.68,546.66,629.0,1.26,0.25784992997715045
2022-01-02,Canola,West,Food Processor,352.0,174004.16,50174.08,494.33,461.56,801.0,0.94,0.2883498877268222
2022-01-02,Corn,Midwest,Commercial,1469.0,306668.44,64459.72,208.76,214.03,2845.0,0.97,0.21019352366353708
2022-01-02,Corn,Midwest,Cooperative,1512.0,329706.72,89843.04,218.06,213.96,2916.0,1.07,0.27249380904338255
2022-01-02,Corn,Midwest,Exporter,1705.0,317351.65,88557.7,186.13,187.57,2668.0,0.89,0.2790522752914629
2022-01-02,Corn,Midwest,Food Processor,1006.0,204700.88,59987.78,203.48,208.19,2707.0,0.83,0.2930509140947513
2022-01-02,Corn,Northeast,Commercial,792.0,158732.64,41682.96,200.42,194.19,1482.0,1.18,0.26259854305957486
2022-01-02,Corn,Northeast,Cooperative,1008.0,196045.92,53323.2,194.49,212.23,1575.0,1.04,0.27199341868476523
2022-01-02,Corn,Northeast,Exporter,991.0,200806.33,47379.71,202.63,199.97,1599.0,1.04,0.23594729309579038
2022-01-02,Corn,Northeast,Food Processor,601.0,124731.54,31101.75,207.54,195.79,1536.0,0.95,0.24934952298352125
2022-01-02,Corn,South,Commercial,1099.0,217140.42,50806.77,197.58,201.32,2001.0,1.0,0.23398117218341935
2022-01-02,Corn,South,Cooperative,930.0,179713.2,48936.6,193.24,198.83,2271.0,0.76,0.27230387083419577
2022-01-02,Corn,South,Exporter,1281.0,267459.99,69353.34,208.79,206.27,2319.0,0.94,0.2593036064945639
2022-01-02,Corn,South,Food Processor,887.0,169851.63,25811.7,191.49,193.97,2058.0,0.95,0.15196616011279962
2022-01-02,Corn,West,Commercial,833.0,178428.6,51546.04,214.2,229.05,1754.0,0.9,0.28888888888888886
2022-01-02,Corn,West,Cooperative,1059.0,233234.16,58594.47,220.24,216.02,1922.0,0.98,0.2512259353432619
2022-01-02,Corn,West,Exporter,1178.0,246484.72,47567.64,209.24,217.64,2031.0,1.04,0.19298413305295353
2022-01-02,Corn,West,Food Processor,715.0,161897.45,45953.05,226.43,202.7,1813.0,1.1,0.2838404805017003
2022-01-02,Soybeans,Midwest,Commercial,804.0,422317.08,65140.08,525.27,528.94,2156.0,0.77,0.15424448378928932
2022-01-02,Soybeans,Midwest,Cooperative,1272.0,685760.64,155387.52,539.12,534.97,2331.0,1.04,0.22659148241578866
2022-01-02,Soybeans,Midwest,Exporter,1303.0,650170.94,133375.08,498.98,480.83,2489.0,1.07,0.2051384825043088
2022-01-02,Soybeans,Midwest,Food Processor,865.0,391343.3,116429.0,452.42,468.27,1927.0,0.94,0.29751116219442114
2022-01-02,Soybeans,Northeast,Commercial,553.0,262475.92,42193.9,474.64,488.19,1159.0,1.06,0.16075341311309627
2022-01-02,Soybeans,Northeast,Cooperative,716.0,317646.24,68764.64,443.64,435.72,1196.0,1.1,0.2164818321161302
2022-01-02,Soybeans,Northeast,Exporter,798.0,355125.96,53793.18,445.02,461.61,999.0,1.01,0.15147633814210595
2022-01-02,Soybeans,Northeast,Food Processor,627.0,309399.42,79196.37,493.46,514.84,1247.0,1.13,0.25596806225428603
2022-01-02,Soybeans,South,Commercial,818.0,360631.66,87272.42,440.87,463.11,1572.0,0.91,0.24199877514913695
2022-01-02,Soybeans,South,Cooperative,1119.0,493982.55,130273.98,441.45,454.56,1659.0,1.16,0.2637218258013365
2022-01-02,Soybeans,South,Exporter,950.0,414960.0,68647.0,436.8,426.53,1672.0,1.03,0.16543040293040293
2022-01-02,Soybeans,South,Food Processor,650.0,315620.5,87074.0,485.57,491.27,1900.0,0.91,0.2758819531684412
2022-01-02,Soybeans,West,Commercial,871.0,381384.77,100844.38,437.87,463.26,1227.0,1.14,0.26441637929065703
2022-01-02,Soybeans,West,Cooperative,880.0,431120.8,105556.0,489.91,506.02,1217.0,1.23,0.2448408891429038
2022-01-02,Soybeans,West,Exporter,890.0,404273.6,83010.3,454.24,484.67,1568.0,1.0,0.20533198309263828
2022-01-02,Soybeans,West,Food Processor,562.0,306447.36,90813.58,545.28,558.93,1189.0,0.9,0.29634316314553993
2022-01-02,Wheat,Midwest,Commercial,987.0,255327.03,51699.06,258.69,307.8,1778.0,1.11,0.20248173489504812
2022-01-02,Wheat,Midwest,Cooperative,735.0,194385.45,57271.2,264.47,261.52,2027.0,0.97,0.294626989828714
2022-01-02,Wheat,Midwest,Exporter,940.0,252784.8,74419.8,268.92,251.57,1843.0,0.94,0.2943998215082553
2022-01-02,Wheat,Midwest,Food Processor,682.0,173650.84,57656.28,254.62,238.95,1687.0,1.08,0.33202419291493207
2022-01-02,Wheat,Northeast,Commercial,491.0,117820.36,19345.4,239.96,264.1,817.0,1.03,0.16419403233872312
2022-01-02,Wheat,Northeast,Cooperative,557.0,141249.63,27610.49,253.59,247.61,1045.0,1.1,0.1954730076107102
2022-01-02,Wheat,Northeast,Exporter,628.0,169917.96,46453.16,270.57,277.38,1002.0,1.09,0.2733858151310197
2022-01-02,Wheat,Northeast,Food Processor,463.0,121088.39,19422.85,261.53,274.89,877.0,0.93,0.16040224830803348
2022-01-02,Wheat,South,Commercial,440.0,122865.6,18876.0,279.24,295.17,1288.0,0.76,0.15363128491620112
2022-01-02,Wheat,South,Cooperative,727.0,197075.16,30664.86,271.08,262.49,1336.0,0.99,0.15559982293050023
2022-01-02,Wheat,South,Exporter,834.0,203829.6,53501.1,244.4,241.13,1321.0,1.21,0.2624795417348609
2022-01-02,Wheat,South,Food Processor,586.0,156163.14,41043.44,266.49,295.02,1450.0,1.12,0.26282412098014934
2022-01-02,Wheat,West,Commercial,318.0,82823.1,23630.58,260.45,274.0,896.0,0.61,0.28531387982338263
2022-01-02,Wheat,West,Cooperative,418.0,98844.46,28984.12,236.47,259.7,1266.0,0.83,0.2932295851482217
2022-01-02,Wheat,West,Exporter,690.0,184140.3,50742.6,266.87,275.23,960.0,1.02,0.27556488177764454
2022-01-02,Wheat,West,Food Processor,304.0,77516.96,15774.56,254.99,256.15,1370.0,1.08,0.20349817639907444
2022-01-09,Canola,Midwest,Commercial,610.0,320304.9,69466.8,525.09,504.54,1271.0,1.12,0.21687710678169456
2022-01-09,Canola,Midwest,Cooperative,724.0,394978.2,64320.16,545.55,581.89,924.0,1.12,0.16284483548712309
2022-01-09,Canola,Midwest,Exporter,710.0,357662.5,67698.5,503.75,504.28,1087.0,1.02,0.1892803970223325
2022-01-09,Canola,Midwest,Food Processor,608.0,285103.36,72820.16,468.92,465.57,1058.0,0.84,0.2554167022093321
2022-01-09,Canola,Northeast,Commercial,325.0,165327.5,32331.0,508.7,502.41,516.0,1.15,0.19555730292903478
2022-01-09,Canola,Northeast,Cooperative,508.0,258353.56,53253.64,508.57,538.0,690.0,1.02,0.20612698350276265
2022-01-09,Canola,Northeast,Exporter,681.0,337796.43,60860.97,496.03,544.39,861.0,0.94,0.1801705542003508
2022-01-09,Canola,Northeast,Food Processor,288.0,144100.8,27285.12,500.35,501.47,587.0,1.17,0.18934745678025383
2022-01-09,Canola,South,Commercial,653.0,337496.52,90368.67,516.84,536.77,918.0,0.93,0.2677617831437195
2022-01-09,Canola,South,Cooperative,651.0,336892.5,97272.42,517.5,541.29,895.0,0.92,0.2887342995169082
2022-01-09,Canola,South,Exporter,739.0,372234.3,65933.58,503.7,540.22,1046.0,1.08,0.17712924359737942
2022-01-09,Canola,South,Food Processor,427.0,194378.94,54327.21,455.22,465.24,889.0,0.97,0.27949123500724926
2022-01-09,Canola,West,Commercial,442.0,220288.38,41892.76,498.39,496.6,912.0,1.07,0.1901723549830454
2022-01-09,Canola,West,Cooperative,341.0,181391.54,27545.98,531.94,530.45,814.0,0.8,0.15185923224423806
2022-01-09,Canola,West,Exporter,398.0,199282.58,58768.68,500.71,500.14,908.0,0.87,0.29490124023886083
2022-01-09,Canola,West,Food Processor,268.0,144108.96,25315.28,537.72,538.33,764.0,1.0,0.17566763371271293
2022-01-09,Corn,Midwest,Commercial,1742.0,337756.38,67293.46,193.89,203.8,2897.0,1.19,0.19923668059208832
2022-01-09,Corn,Midwest,Cooperative,2084.0,417154.28,99886.12,200.17,228.08,2977.0,1.21,0.23944647050007492
2022-01-09,Corn,Midwest,Exporter,1923.0,384350.01,114476.19,199.87,205.35,2616.0,1.13,0.2978435983389203
2022-01-09,Corn,Midwest,Food Processor,1157.0,213836.74,39014.04,184.82,186.56,3124.0,1.09,0.18244778703603506
2022-01-09,Corn,Northeast,Commercial,825.0,173184.0,38007.75,209.92,222.34,1641.0,1.18,0.21946455792682926
2022-01-09,Corn,Northeast,Cooperative,753.0,151925.28,32567.25,201.76,200.72,1350.0,0.83,0.21436360031720855
2022-01-09,Corn,Northeast,Exporter,981.0,199309.77,51267.06,203.17,199.21,1435.0,1.01,0.2572230152089383
2022-01-09,Corn,Northeast,Food Processor,653.0,127210.93,21646.95,194.81,207.47,1473.0,0.89,0.17016580257686978
2022-01-09,Corn,South,Commercial,676.0,127270.52,19468.8,188.27,191.69,2147.0,0.75,0.15297179582514472
2022-01-09,Corn,South,Cooperative,1131.0,245460.93,60904.35,217.03,220.21,2151.0,0.89,0.24812237939455375
2022-01-09,Corn,South,Exporter,1250.0,249562.5,73337.5,199.65,203.68,2041.0,0.94,0.2938642624593038
2022-01-09,Corn,South,Food Processor,763.0,148899.45,29253.42,195.15,194.72,2055.0,0.86,0.1964642582628747
2022-01-09,Corn,West,Commercial,800.0,158704.0,29800.0,198.38,206.97,1714.0,0.94,0.1877709446516786
2022-01-09,Corn,West,Cooperative,1151.0,209608.61,39375.71,182.11,174.57,1886.0,1.16,0.18785349514029984
2022-01-09,Corn,West,Exporter,864.0,209373.12,48764.16,242.33,253.18,1831.0,0.81,0.23290554202946398
2022-01-09,Corn,West,Food Processor,690.0,134598.3,22404.3,195.07,190.02,2053.0,0.87,0.16645306812938945
2022-01-09,Soybeans,Midwest,Commercial,781.0,365055.02,79029.39,467.42,472.78,2242.0,0.8,0.21648624363527447
2022-01-09,Soybeans,Midwest,Cooperative,839.0,405924.98,107014.45,483.82,478.62,2199.0,0.78,0.2636311024761275
2022-01-09,Soybeans,Midwest,Exporter,1078.0,533965.74,121652.3,495.33,462.41,2167.0,0.92,0.22782791270466154
2022-01-09,Soybeans,Midwest,Food Processor,974.0,458529.98,90689.14,470.77,489.72,2239.0,0.93,0.19778235656477686
2022-01-09,Soybeans,Northeast,Commercial,665.0,312111.1,59823.4,469.34,476.42,1373.0,1.1,0.19167341372991864
2022-01-09,Soybeans,Northeast,Cooperative,623.0,327099.92,53553.08,525.04,508.79,903.0,0.85,0.16372085936309616
2022-01-09,Soybeans,Northeast,Exporter,941.0,466453.7,98917.92,495.7,494.6,1189.0,1.29,0.21206374823481944
2022-01-09,Soybeans,Northeast,Food Processor,654.0,315555.0,87446.34,482.5,506.99,1452.0,1.03,0.27711917098445593
2022-01-09,Soybeans,South,Commercial,777.0,326868.36,52486.35,420.68,407.27,1529.0,1.04,0.16057335742131787
2022-01-09,Soybeans,South,Cooperative,933.0,444350.58,80293.98,476.26,498.51,1547.0,1.03,0.18069961785579303
2022-01-09,Soybeans,South,Exporter,1217.0,577807.26,128004.06,474.78,481.22,1571.0,1.1,0.22153418425375962
2022-01-09,Soybeans,South,Food Processor,637.0,293529.6,74790.17,460.8,431.87,1623.0,0.88,0.2547960069444445
2022-01-09,Soybeans,West,Commercial,530.0,258560.5,56487.4,487.85,483.57,1466.0,1.03,0.2184687916367736
2022-01-09,Soybeans,West,Cooperative,776.0,381970.48,84025.28,492.23,514.32,1377.0,0.95,0.2199784653515633
2022-01-09,Soybeans,West,Exporter,839.0,393474.22,74134.04,468.98,453.03,1278.0,1.01,0.18840888737259584
2022-01-09,Soybeans,West,Food Processor,484.0,227567.12,32239.24,470.18,508.26,1310.0,0.94,0.14166914798587776
2022-01-09,Wheat,Midwest,Commercial,728.0,194143.04,31289.44,266.68,274.97,1661.0,0.88,0.16116694165291734
2022-01-09,Wheat,Midwest,Cooperative,907.0,248717.54,62102.29,274.22,255.66,1528.0,1.18,0.2496900299029976
2022-01-09,Wheat,Midwest,Exporter,977.0,264473.9,65576.24,270.7,271.5,1930.0,0.96,0.24794975988178797
2022-01-09,Wheat,Midwest,Food Processor,718.0,169196.7,40129.02,235.65,238.1,1645.0,0.97,0.2371737746658179
2022-01-09,Wheat,Northeast,Commercial,176.0,43266.08,11241.12,245.83,236.71,1173.0,0.85,0.25981369238904933
2022-01-09,Wheat,Northeast,Cooperative,607.0,166069.13,46332.31,273.59,284.43,904.0,0.99,0.2789941152819913
2022-01-09,Wheat,Northeast,Exporter,492.0,126079.92,37401.84,256.26,263.06,653.0,1.04,0.2966518379770545
2022-01-09,Wheat,Northeast,Food Processor,349.0,87525.71,19355.54,250.79,271.51,829.0,0.98,0.22114119382750508
2022-01-09,Wheat,South,Commercial,817.0,232060.68,46519.98,284.04,296.84,1094.0,0.97,0.2004647232784115
2022-01-09,Wheat,South,Cooperative,643.0,167675.11,27713.3,260.77,260.92,1174.0,1.0,0.16527974843732024
2022-01-09,Wheat,South,Exporter,541.0,137619.58,39925.8,254.38,253.93,1486.0,0.97,0.2901171475744949
2022-01-09,Wheat,South,Food Processor,354.0,97063.26,26468.58,274.19,287.86,1049.0,0.75,0.2726941172179876
2022-01-09,Wheat,West,Commercial,656.0,161087.36,44548.96,245.56,262.77,1241.0,1.11,0.2765515556279525
2022-01-09,Wheat,West,Cooperative,583.0,138730.68,36659.04,237.96,240.18,1014.0,1.06,0.26424609178013114
2022-01-09,Wheat,West,Exporter,657.0,168047.46,40398.93,255.78,274.03,1142.0,0.87,0.24040190788959262
2022-01-09,Wheat,West,Food Processor,465.0,116649.9,19376.55,250.86,259.32,972.0,0.85,0.16610858646256876
2022-01-16,Canola,Midwest,Commercial,601.0,309815.5,75912.31,515.5,515.82,1073.0,1.19,0.24502424830261882
2022-01-16,Canola,Midwest,Cooperative,603.0,279798.03,80868.33,464.01,452.15,1446.0,0.84,0.2890239434494946
2022-01-16,Canola,Midwest,Exporter,521.0,261599.31,44602.81,502.11,547.35,1544.0,0.7,0.17050048794088943
2022-01-16,Canola,Midwest,Food Processor,779.0,360599.1,66807.04,462.9,496.74,1289.0,1.29,0.18526679628429465
2022-01-16,Canola,Northeast,Commercial,312.0,157716.0,34379.28,505.5,518.07,445.0,0.93,0.21798219584569734
2022-01-16,Canola,Northeast,Cooperative,537.0,303897.11,54374.69,565.9164000000001,568.2,735.0,1.2,0.17892466960281395
2022-01-16,Canola,Northeast,Exporter,311.0,158653.54,26316.82,510.14,505.99,498.0,0.93,0.16587603402987414
2022-01-16,Canola,Northeast,Food Processor,115.0,56140.7,10102.75,488.18,488.84,685.0,0.91,0.17995411528534558
2022-01-16,Canola,South,Commercial,269.0,145187.37,23365.34,539.73,545.8,858.0,0.91,0.16093231801085728
2022-01-16,Canola,South,Cooperative,314.0,154352.98,33820.94,491.57,496.98,1038.0,0.87,0.21911426653375918
2022-01-16,Canola,South,Exporter,672.0,325503.36,91701.12,484.38,512.87,755.0,1.07,0.2817209628803832
2022-01-16,Canola,South,Food Processor,417.0,198329.37,51866.46,475.61,473.64,897.0,1.04,0.26151678896574926
2022-01-16,Canola,West,Commercial,437.0,229783.34,47112.97,525.82,554.51,831.0,1.01,0.20503214027614014
2022-01-16,Canola,West,Cooperative,324.0,163756.08,39029.04,505.42,506.42,563.0,0.92,0.23833643306556926
2022-01-16,Canola,West,Exporter,466.0,221937.16,52476.26,476.26,519.27,792.0,0.92,0.23644647881409314
2022-01-16,Canola,West,Food Processor,278.0,155263.0,26485.06,558.5,548.42,722.0,1.04,0.17058191584601612
2022-01-16,Corn,Midwest,Commercial,1468.0,287551.84,76189.2,195.88,188.69,2915.0,1.0,0.26495813763528686
2022-01-16,Corn,Midwest,Cooperative,1608.0,304780.32,70060.56,189.54,207.37,2712.0,0.97,0.22987232246491504
2022-01-16,Corn,Midwest,Exporter,1619.0,332542.6,74198.77,205.4,215.92,2800.0,0.92,0.22312560856864658
2022-01-16,Corn,Midwest,Food Processor,1270.0,259295.9,40093.9,204.17,198.96,3093.0,1.14,0.1546260469216829
2022-01-16,Corn,Northeast,Commercial,801.0,160656.57,35155.89,200.57,208.58,1602.0,0.99,0.21882634491698658
2022-01-16,Corn,Northeast,Cooperative,807.0,171051.72,33143.49,211.96,208.17,1580.0,1.02,0.19376297414606528
2022-01-16,Corn,Northeast,Exporter,990.0,220324.5,37293.3,222.55,208.99,1617.0,0.93,0.1692653336328915
2022-01-16,Corn,Northeast,Food Processor,585.0,122446.35,18421.65,209.31,204.66,1343.0,1.23,0.15044670584300798
2022-01-16,Corn,South,Commercial,1209.0,231160.8,61574.37,191.2,205.06,1933.0,1.02,0.2663702928870293
2022-01-16,Corn,South,Cooperative,1166.0,659858.52,446060.76,565.9164000000001,223.25,2203.0,0.95,0.6759945450124673
2022-01-16,Corn,South,Exporter,1154.0,250314.14,59754.12,216.91,234.36,2050.0,0.83,0.23871651837167487
2022-01-16,Corn,South,Food Processor,870.0,189138.0,42690.9,217.4,224.1,2539.0,1.03,0.22571297148114075
2022-01-16,Corn,West,Commercial,999.0,198521.28,42717.24,198.72,213.42,1746.0,1.07,0.2151771336553945
2022-01-16,Corn,West,Cooperative,1130.0,242938.7,48092.8,214.99,228.92,2007.0,1.06,0.197962695939346
2022-01-16,Corn,West,Exporter,1166.0,242819.5,45765.5,208.25,209.47,1741.0,1.04,0.18847539015606243
